Id,Front,Item A,Item B,Legs,Pilot,Rarity,Rarity (percent),Serial Number,Theme,Top,Price
8579,Deep Fried,No Item,Peacekeeper,Spyder,German Shepherd,C,0.2973,844067723988889606,Nero,Peacekeeper,0.15
8580,Deep Fried,Skyhammer,Deep Fried,Skyhammer,Hare,C,0.2973,842256647970204298,Spec. Ops,Breaker,0.14
8581,Breaker,No Item,Deep Fried,Buster,Dobermann,C,0.2973,548193758666002899,Dune,Ravager,0.14
8582,Buster,No Item,No Item,Ironclaw,Mako Shark,D,0.4924,778454088533772112,Ghost,Skyhammer,0.14
8583,Buster,Peacekeeper,Breaker,Breaker,Koala,A,0.0593,320009169580352541,Guardian,Deep Fried,0.19
8584,Ironclaw,No Item,Deep Fried,Skyhammer,Grey Hamster,D,0.4924,358011844811304913,Puff,Infiltrator,0.168
8585,Ravager,No Item,No Item,Breaker,Snake,D,0.4924,844275360322441243,Royal,Buster,0.18
8586,Peacekeeper,Spyder,Peacekeeper,Spyder,Snake,D,0.4924,142123323733888453,Puff,Ravager,0.18
8587,Spyder,No Item,Ironclaw,Ironclaw,Fox,D,0.4924,427010889255004815,Rubber Duck,Renegade,0.2352
8588,Skyhammer,Deep Fried,Renegade,Skyhammer,Great White,C,0.2973,428018643440784233,Grape,Ironclaw,0.1235
8589,Breaker,Renegade,Skyhammer,Peacekeeper,Hare,C,0.2973,666638171641502898,Orng,Ironclaw,0.18
8590,Spyder,No Item,Ironclaw,Deep Fried,Boid,C,0.2973,420096090233810705,Puff,Breaker,0.18
8591,Ironclaw,Buster,No Item,Infiltrator,Capybara,A,0.0593,127268215890330708,Seal,Ironclaw,0.18
8592,Deep Fried,No Item,No Item,Ravager,Bear,D,0.4924,000067534933443028,Nebula,Peacekeeper,0.29
8593,Ironclaw,No Item,Deep Fried,Ironclaw,Bull,D,0.4924,078889980877101018,Idol,Deep Fried,0.1369
8594,Deep Fried,No Item,Infiltrator,Ravager,Tuxedo Cat,C,0.2973,663243237922145512,Mint,Ravager,0.088
8595,Ironclaw,Breaker,Peacekeeper,Buster,Bear,D,0.4924,630069358849725696,Seal,Deep Fried,0.085
8596,Infiltrator,Infiltrator,Buster,Breaker,Rooster,D,0.4924,910029763152425450,Spec. Ops,Deep Fried,0.165
8597,Peacekeeper,No Item,Peacekeeper,Buster,Red Frog,A,0.0593,562054756733800077,8008,Skyhammer,0.565
8598,Peacekeeper,No Item,Buster,Peacekeeper,Dart Frog,S,0.0296,810464875755781452,Ghost,Skyhammer,0.145
8599,Renegade,Deep Fried,Deep Fried,Renegade,Kaiju Styx,S+,0.01,468839002090407890,Snes,Deep Fried,0.13
8600,Skyhammer,Spyder,Spyder,Peacekeeper,Blaze,D,0.4924,352831173490487220,Spec. Ops,Infiltrator,0.1324
8601,Buster,Deep Fried,Buster,Skyhammer,Chicken,C,0.2973,123040843580363030,Crimson,Renegade,0.1465
8602,Infiltrator,No Item,No Item,Deep Fried,Cave Bat,D,0.4924,144803297122443582,Mint,Ravager,0.119
8603,Peacekeeper,No Item,Skyhammer,Ravager,Black Shiba,C,0.2973,062462038722708431,Hero,Spyder,0.133
8604,Spyder,No Item,Ravager,Deep Fried,Orange Spider,A,0.0593,880045395255565688,Seal,Buster,0.119
8605,Renegade,Infiltrator,Ravager,Spyder,Snake,D,0.4924,350057427042482123,Corps,Peacekeeper,0.119
8606,Skyhammer,No Item,Breaker,Renegade,Black Horse,D,0.4924,776847905422707859,C.A.T.,Peacekeeper,0.1285
8607,Breaker,No Item,No Item,Infiltrator,Orange Cat,D,0.4924,913934318666882481,Red,Skyhammer,0.1395
8608,Spyder,No Item,Ravager,Breaker,Clover,C,0.2973,307758265266482136,Ghost,Ironclaw,0.167
8609,Infiltrator,Spyder,No Item,Infiltrator,Pig,D,0.4924,147547519142113652,Maverick,Peacekeeper,0.1375
8610,Peacekeeper,No Item,Spyder,Buster,Hare,C,0.2973,906681555766065680,Seal,Infiltrator,
8611,Peacekeeper,No Item,Deep Fried,Breaker,Bull,D,0.4924,423213660755301208,Camo,Ravager,0.165
8612,Ravager,No Item,Deep Fried,Skyhammer,Snake,D,0.4924,354215545311504243,Hero,Buster,0.1267
8613,Buster,Ravager,No Item,Deep Fried,Collie,D,0.4924,566027298500221239,Red,Peacekeeper,0.165
8614,Infiltrator,No Item,Skyhammer,Renegade,Clover,C,0.2973,009188608122005403,Red,Ironclaw,0.1165
8615,Buster,No Item,No Item,Deep Fried,Corgi,D,0.4924,770092595522220747,Corps,Spyder,0.1715
8616,Ironclaw,No Item,Deep Fried,Deep Fried,Centipede,C,0.2973,840074296888404913,Puff,Skyhammer,0.165
8617,Peacekeeper,No Item,Breaker,Deep Fried,White Pupper,C,0.2973,300071994777215627,Dune,Infiltrator,0.165
8618,Spyder,No Item,No Item,Infiltrator,Bull,D,0.4924,146892510244667788,Seal,Spyder,0.1165
8619,Deep Fried,Renegade,No Item,Breaker,Turkey,C,0.2973,246052965934229039,Red,Spyder,0.1725
8620,Breaker,Breaker,Renegade,Skyhammer,Indigo Centipede,B,0.0992,600039642656939580,Crimson,Deep Fried,0.1355
8621,Breaker,Ravager,Ravager,Renegade,Python,D,0.4924,071796208672202171,Corps,Breaker,0.145
8622,Peacekeeper,No Item,No Item,Skyhammer,Golden Pupper,D,0.4924,707250849777886353,Puff,Renegade,0.12
8623,Breaker,No Item,Buster,Peacekeeper,Cave Bat,D,0.4924,844886673666181476,Ghost,Breaker,0.145
8624,Renegade,No Item,Breaker,Buster,Rottweiler,D,0.4924,422036150044633008,Spec. Ops,Breaker,0.115
8625,Renegade,Ironclaw,No Item,Skyhammer,Centipede,C,0.2973,722091743009779191,Dune,Infiltrator,0.085
8626,Renegade,Skyhammer,No Item,Deep Fried,Chicken,C,0.2973,480011992085556490,Nero,Infiltrator,0.145
8627,Infiltrator,Ironclaw,No Item,Buster,Mako Shark,D,0.4924,491205257127111809,Red,Buster,0.103
8628,Peacekeeper,No Item,Deep Fried,Peacekeeper,Prince Cat,D,0.4924,911632176722508500,Crimson,Spyder,0.135
8629,Ravager,No Item,Ravager,Ravager,Purple Frog,C,0.2973,666013037388649185,Puff,Ravager,0.15
8630,Buster,No Item,Ironclaw,Ravager,Capybara,A,0.0593,442822532555450048,Seal,Spyder,0.129
8631,Renegade,No Item,Renegade,Buster,Blue Spider,B,0.0992,309118557088300628,Maverick,Ironclaw,0.1723
8632,Ravager,Peacekeeper,No Item,Breaker,Brown Mouse,C,0.2973,248048467300442839,Corps,Ironclaw,0.15
8633,Ravager,No Item,Renegade,Ravager,Mako Shark,D,0.4924,848446632300716081,Guardian,Breaker,0.2
8634,Breaker,Spyder,Ironclaw,Skyhammer,Blue Spider,B,0.0992,800062943684000786,High Tide,Spyder,0.09
8635,Peacekeeper,Deep Fried,Renegade,Spyder,Canadian Goose,D,0.4924,630031927700797000,Crimson,Infiltrator,0.13
8636,Ravager,Skyhammer,Renegade,Ravager,Brown Moose,C,0.2973,008180638315018055,Crimson,Renegade,0.16
8637,Breaker,Ironclaw,Ravager,Breaker,Tuxedo Cat,C,0.2973,248005964645328425,Grape,Buster,0.07
8638,Peacekeeper,Spyder,No Item,Ironclaw,Pig,D,0.4924,633070282778227016,Seal,Renegade,0.07
8639,Renegade,Spyder,Skyhammer,Deep Fried,Raccoon,B,0.0992,406096997027059053,C.A.T.,Breaker,0.09
8640,Skyhammer,No Item,No Item,Infiltrator,Green Frog,D,0.4924,000074715433228426,Orng,Skyhammer,0.1533
8641,Infiltrator,No Item,No Item,Spyder,Golden Pupper,D,0.4924,775669323100555476,Maverick,Deep Fried,0.1488
8642,Ironclaw,Renegade,No Item,Buster,Brown Mouse,C,0.2973,243262650806118440,Maverick,Spyder,0.135
8643,Ironclaw,Ironclaw,No Item,Buster,Canadian Goose,D,0.4924,560092651854551214,Camo,Spyder,0.172
8644,Infiltrator,No Item,No Item,Deep Fried,Black Horse,D,0.4924,708966393122335442,Snes,Breaker,
8645,Buster,Peacekeeper,No Item,Peacekeeper,Boar,D,0.4924,564517479508884883,C.A.T.,Peacekeeper,
8646,Ravager,No Item,Renegade,Ravager,Lion Monkey,A,0.0593,209154630388567245,Red,Skyhammer,
8647,Renegade,Spyder,No Item,Spyder,Staffie,D,0.4924,214447323054448445,Red,Peacekeeper,
8648,Infiltrator,Infiltrator,Infiltrator,Peacekeeper,Panda,A,0.0593,242705078142629118,Orng,Buster,
8649,Buster,Skyhammer,No Item,Ravager,White Pupper,C,0.2973,546830835585662877,Puff,Renegade,
8650,Ravager,Peacekeeper,No Item,Buster,Bengal Cat,C,0.2973,420044351300888034,Royal,Skyhammer,
8651,Buster,Ironclaw,Spyder,Spyder,Staffie,D,0.4924,350013729554754232,Seal,Ravager,
8652,Buster,Renegade,Renegade,Deep Fried,Panda,A,0.0593,560002797523210720,Ghost,Spyder,
8653,Buster,No Item,Ravager,Ravager,Great White,C,0.2973,248060730577640020,Ghost,Renegade,
8654,Peacekeeper,No Item,Spyder,Ravager,Raccoon,B,0.0992,304038434700576350,Orng,Ironclaw,
8655,Ironclaw,No Item,Buster,Peacekeeper,Great White,C,0.2973,426003675866604980,Seal,Ravager,0.2195
8656,Spyder,No Item,Ironclaw,Peacekeeper,Black Shiba,C,0.2973,788010972255630637,Hero,Renegade,0.1527
8657,Deep Fried,No Item,Spyder,Buster,Salmon,C,0.2973,183981453922631555,Crimson,Infiltrator,0.149
8658,Skyhammer,No Item,Ravager,Deep Fried,Boid,C,0.2973,421992697455084917,Grape,Spyder,0.179
8659,Spyder,No Item,Spyder,Infiltrator,Fox,D,0.4924,497021311255662425,Royal,Infiltrator,0.149
8660,Ravager,No Item,Renegade,Deep Fried,Cream Frenchie,B,0.0992,709628194366772863,Corps,Ironclaw,0.1265
8661,Deep Fried,Ravager,Spyder,Infiltrator,Centipede,C,0.2973,127522318988184954,High Tide,Spyder,0.2199
8662,Ironclaw,Infiltrator,Peacekeeper,Infiltrator,Great White,C,0.2973,549061210820087889,C.A.T.,Infiltrator,
8663,Breaker,Ironclaw,No Item,Ironclaw,Panda,A,0.0593,720045282681662197,Grape,Buster,0.1299
8664,Peacekeeper,No Item,Spyder,Infiltrator,Pug,B,0.0992,201662814733272458,Maverick,Spyder,0.1775
8665,Ironclaw,Infiltrator,No Item,Buster,German Shepherd,C,0.2973,068083154858331271,C.A.T.,Ravager,0.1615
8666,Renegade,No Item,No Item,Infiltrator,Prince Cat,D,0.4924,846460718000771428,Ghost,Renegade,0.1483
8667,Renegade,Buster,No Item,Ironclaw,Fox,D,0.4924,213519886024002494,Maverick,Deep Fried,0.1175
8668,Skyhammer,Spyder,No Item,Buster,Brown Mouse,C,0.2973,663263757496557746,High Tide,Ravager,0.135
8669,Ravager,Buster,No Item,Ravager,Doge,B,0.0992,156805533354440696,Snes,Buster,0.1645
8670,Ravager,Breaker,No Item,Peacekeeper,Tuxedo Cat,C,0.2973,664804372363004278,Snes,Skyhammer,0.145
8671,Skyhammer,No Item,Spyder,Breaker,Tuxedo Cat,C,0.2973,544869065444905255,Royal,Deep Fried,0.135
8672,Breaker,No Item,Breaker,Breaker,Boid,C,0.2973,007619267600358422,High Tide,Deep Fried,0.1297
8673,Ravager,Ravager,Skyhammer,Deep Fried,Python,D,0.4924,705151298332501293,Red,Infiltrator,0.15
8674,Ironclaw,No Item,Spyder,Skyhammer,White Pupper,C,0.2973,363402840888488499,Red,Spyder,0.145
8675,Infiltrator,No Item,No Item,Spyder,Collie,D,0.4924,079093121122664827,Red,Ravager,0.145
8676,Breaker,Deep Fried,Ironclaw,Renegade,Loxy Doge,B,0.0992,358459505600279517,Mint,Deep Fried,0.125
8677,Ironclaw,Ravager,Buster,Breaker,Boar,D,0.4924,146670863816729153,Puff,Renegade,0.17
8678,Skyhammer,Skyhammer,No Item,Breaker,Golden Pupper,D,0.4924,280073561445222875,Dune,Ravager,0.16
8679,Infiltrator,No Item,Buster,Infiltrator,Rottweiler,D,0.4924,218073615111481400,Nebula,Ravager,0.22
8680,Buster,No Item,Spyder,Skyhammer,Rottweiler,D,0.4924,216028840577660026,Orng,Ironclaw,0.167
8681,Peacekeeper,No Item,No Item,Infiltrator,Rabbit,D,0.4924,843617317777447885,Hero,Peacekeeper,0.147
8682,Skyhammer,Skyhammer,Infiltrator,Infiltrator,Brown Mouse,C,0.2973,841206517470622883,Dune,Breaker,0.184
8683,Skyhammer,No Item,Skyhammer,Ravager,Panda,A,0.0593,202732036455256393,8008,Spyder,0.5
8684,Spyder,No Item,No Item,Peacekeeper,Rooster,D,0.4924,073898873244002885,Puff,Ironclaw,0.239
8685,Breaker,Spyder,No Item,Spyder,Tuna,C,0.2973,363076826648775645,Puff,Breaker,
8686,Deep Fried,Spyder,Ravager,Buster,Python,D,0.4924,420088451930328818,Nero,Ironclaw,
8687,Buster,Ravager,No Item,Breaker,Mako Shark,D,0.4924,566062362572885418,Snes,Spyder,
8688,Breaker,Peacekeeper,No Item,Buster,Boar,D,0.4924,847874351640449189,Grape,Skyhammer,0.244
8689,Skyhammer,Breaker,Breaker,Buster,Black Widow,S,0.0296,270087055470635657,Grape,Peacekeeper,0.15
8690,Skyhammer,No Item,Skyhammer,Spyder,Tiger,C,0.2973,544268022466502445,Red,Ironclaw,0.1145
8691,Breaker,Breaker,No Item,Ironclaw,Zebra,B,0.0992,202475188628880043,Hero,Buster,0.2045
8692,Buster,Skyhammer,Buster,Infiltrator,White Mouse,D,0.4924,910070219545543519,Dune,Renegade,0.1945
8693,Spyder,No Item,Renegade,Peacekeeper,Purple Frog,C,0.2973,482421975200308409,Grape,Infiltrator,0.1985
8694,Infiltrator,Renegade,No Item,Ravager,Canadian Goose,D,0.4924,770069731151778809,Nero,Deep Fried,0.127
8695,Breaker,Breaker,No Item,Ironclaw,Canadian Goose,D,0.4924,217523581649334294,High Tide,Ravager,0.14
8696,Spyder,No Item,Ironclaw,Buster,Tiger,C,0.2973,781456952200182462,Spec. Ops,Breaker,0.149
8697,Breaker,Buster,Ironclaw,Infiltrator,German Shepherd,C,0.2973,844072919600905690,Orng,Spyder,0.165
8698,Skyhammer,Breaker,No Item,Skyhammer,Dobermann,C,0.2973,246344249407443659,C.A.T.,Skyhammer,0.13
8699,Ravager,Deep Fried,Peacekeeper,Infiltrator,Collie,D,0.4924,497599615390883654,Snes,Deep Fried,0.14
8700,Infiltrator,No Item,Deep Fried,Ravager,Black Moose,B,0.0992,609483136144609016,Maverick,Ravager,0.13
8701,Buster,Renegade,No Item,Breaker,Rottweiler,D,0.4924,070097862544885607,Corps,Peacekeeper,0.143
8702,Skyhammer,No Item,Peacekeeper,Skyhammer,Koala,A,0.0593,962556145477640094,Royal,Breaker,
8703,Ravager,Breaker,Breaker,Infiltrator,Red Panda,S,0.0296,279169016349426331,Corps,Deep Fried,0.2875
8704,Buster,No Item,Ironclaw,Ironclaw,Dobermann,C,0.2973,062701282577278470,Maverick,Infiltrator,0.1644
8705,Ironclaw,Spyder,Deep Fried,Renegade,Python,D,0.4924,281743502815102875,Dune,Ravager,0.169
8706,Breaker,Spyder,No Item,Ironclaw,Fox,D,0.4924,560715385660448419,Dune,Buster,
8707,Skyhammer,No Item,Skyhammer,Breaker,Dobermann,C,0.2973,609069267466357710,Orng,Deep Fried,
8708,Renegade,No Item,Infiltrator,Skyhammer,Blue Spider,B,0.0992,402082541033880045,Puff,Spyder,
8709,Peacekeeper,No Item,Ravager,Buster,Black Shiba,C,0.2973,188233359700163640,Maverick,Ravager,
8710,Peacekeeper,Breaker,No Item,Infiltrator,Great White,C,0.2973,244047811721557850,Spec. Ops,Peacekeeper,
8711,Skyhammer,No Item,Ravager,Peacekeeper,Golden Pupper,D,0.4924,910081875455283011,Guardian,Infiltrator,0.148
8712,Peacekeeper,No Item,Breaker,Buster,Brown Mouse,C,0.2973,606423054777562088,Royal,Ravager,0.16
8713,Ironclaw,Renegade,No Item,Renegade,Orange Cat,D,0.4924,140045304878554278,High Tide,Buster,0.145
8714,Renegade,Breaker,No Item,Breaker,Centipede,C,0.2973,482556266084558419,Dune,Breaker,0.165
8715,Buster,Buster,Breaker,Peacekeeper,Giraffe,A,0.0593,602766172548707296,Snes,Breaker,0.395
8716,Deep Fried,Deep Fried,No Item,Skyhammer,Canadian Goose,D,0.4924,772504947990555407,Hero,Skyhammer,0.149
8717,Spyder,Ravager,Renegade,Ironclaw,Tiger,C,0.2973,180098689288952101,Grape,Ironclaw,
8718,Infiltrator,No Item,Renegade,Renegade,Dart Frog,S,0.0296,009823203188015676,Ghost,Ravager,
8719,Breaker,Skyhammer,No Item,Skyhammer,Doge,B,0.0992,558498548650333589,Phantom,Ironclaw,
8720,Spyder,No Item,Ravager,Infiltrator,Zebra,B,0.0992,704802314244481840,Maverick,Spyder,
8721,Breaker,No Item,Ironclaw,Breaker,Clover,C,0.2973,063554560622720715,Corps,Skyhammer,
8722,Breaker,No Item,Ravager,Peacekeeper,Indigo Centipede,B,0.0992,505032076666049025,Hero,Spyder,
8723,Buster,No Item,Peacekeeper,Peacekeeper,Red Frog,A,0.0593,920009578566243548,Seal,Deep Fried,
8724,Spyder,Spyder,No Item,Ironclaw,Tuna,C,0.2973,903086386278339043,Hero,Breaker,0.19
8725,Ravager,Infiltrator,No Item,Spyder,Black Horse,D,0.4924,498656628380003052,Gb,Breaker,0.257
8726,Breaker,Ironclaw,Ironclaw,Renegade,Tiger,C,0.2973,302832804618094947,Corps,Spyder,0.1949
8727,Deep Fried,Renegade,Breaker,Deep Fried,Canadian Goose,D,0.4924,915000394909840735,Dune,Renegade,0.1159
8728,Buster,Deep Fried,No Item,Deep Fried,Rooster,D,0.4924,425753998540552420,Spec. Ops,Ravager,0.1627
8729,Breaker,Ironclaw,No Item,Ironclaw,Canadian Goose,D,0.4924,215061784672441416,Seal,Infiltrator,0.194
8730,Peacekeeper,Peacekeeper,Breaker,Skyhammer,Grey Hamster,D,0.4924,778023649716701426,Orng,Ravager,0.139
8731,Ravager,Deep Fried,Spyder,Breaker,Blaze,D,0.4924,002895464320214975,Dune,Buster,
8732,Ravager,No Item,Buster,Breaker,Canadian Goose,D,0.4924,140005862333489095,C.A.T.,Buster,0.0975
8733,Deep Fried,Ravager,Buster,Deep Fried,Clover,C,0.2973,362837493900368070,Royal,Peacekeeper,0.165
8734,Deep Fried,Skyhammer,Infiltrator,Renegade,Doge,B,0.0992,957625100990628026,Guardian,Buster,0.2
8735,Infiltrator,Breaker,No Item,Deep Fried,Prince Cat,D,0.4924,843263597184002862,High Tide,Ravager,0.122
8736,Renegade,No Item,Peacekeeper,Spyder,Bengal Cat,C,0.2973,240087822066641237,Hero,Peacekeeper,0.148
8737,Breaker,Ravager,Ironclaw,Peacekeeper,Cave Bat,D,0.4924,140020073668363043,Idol,Renegade,0.158
8738,Renegade,Infiltrator,Peacekeeper,Renegade,Blaze,D,0.4924,914659004024246617,C.A.T.,Deep Fried,0.1463
8739,Ironclaw,Renegade,Deep Fried,Breaker,Orange Hamster,D,0.4924,212860967815504863,Red,Renegade,0.1715
8740,Peacekeeper,No Item,Spyder,Spyder,Python,D,0.4924,910002621733810641,C.A.T.,Spyder,0.156
8741,Infiltrator,Ironclaw,No Item,Ravager,Rabbit,D,0.4924,420048030136339135,Dune,Ironclaw,0.124
8742,Ravager,No Item,Skyhammer,Spyder,Brown Mouse,C,0.2973,000837120333752561,Guardian,Peacekeeper,0.142
8743,Renegade,Buster,No Item,Spyder,Green Frog,D,0.4924,844573520006776054,Phantom,Ravager,0.147
8744,Renegade,Buster,No Item,Spyder,Prince Cat,D,0.4924,008079326066221424,Seal,Deep Fried,0.15
8745,Ironclaw,No Item,Skyhammer,Buster,Giraffe,A,0.0593,608767351844355691,Dune,Peacekeeper,0.1085
8746,Skyhammer,No Item,No Item,Ravager,Rottweiler,D,0.4924,770083136488119063,Red,Ravager,
8747,Infiltrator,Breaker,Breaker,Deep Fried,Kaiju Lox,S+,0.01,303090392107773529,Puff,Renegade,
8748,Skyhammer,Deep Fried,Ravager,Peacekeeper,Orange Hamster,D,0.4924,845607975400564900,Seal,Peacekeeper,0.1925
8749,Breaker,No Item,Deep Fried,Infiltrator,Blue Whale,S,0.0296,128739813633601209,Red,Deep Fried,0.135
8750,Infiltrator,Ravager,No Item,Infiltrator,Blaze,D,0.4924,499297015128003505,Puff,Peacekeeper,0.135
8751,Buster,No Item,No Item,Deep Fried,Rabbit,D,0.4924,771895699544661806,Snes,Buster,
8752,Deep Fried,No Item,Peacekeeper,Deep Fried,Loxy Doge,B,0.0992,756050395933720487,Nero,Renegade,
8753,Breaker,Skyhammer,No Item,Ravager,Bull,D,0.4924,566457535685335418,Snes,Peacekeeper,
8754,Renegade,Peacekeeper,Spyder,Peacekeeper,Snake,D,0.4924,560096973048756023,Camo,Breaker,
8755,Peacekeeper,No Item,No Item,Buster,Collie,D,0.4924,282081851788007716,Seal,Infiltrator,
8756,Meta,Meta,Meta,Meta,Beetle,Illegal,0.001,0M.03.0T.0A.0B.03.03.0T.0L,Bee,Meta,
8757,Ironclaw,Infiltrator,No Item,Ravager,Peacock,B,0.0992,751512039832882831,Corps,Spyder,0.12
8758,Ravager,Deep Fried,No Item,Peacekeeper,Indigo Centipede,B,0.0992,006053471380553273,Royal,Ravager,0.15
8759,Peacekeeper,Breaker,No Item,Skyhammer,Penguin,B,0.0992,159112944777110725,Grape,Spyder,0.1295
8760,Buster,Ravager,No Item,Peacekeeper,Golden Pupper,D,0.4924,842464772592553597,Grape,Skyhammer,
8761,Skyhammer,Buster,No Item,Deep Fried,Black Shiba,C,0.2973,184679490460881203,Red,Deep Fried,0.15
8762,Ravager,Infiltrator,Ironclaw,Ravager,Macaque,S,0.0296,576829931324369169,Puff,Deep Fried,0.13
8763,Infiltrator,No Item,Ironclaw,Spyder,Hare,C,0.2973,064499923122638472,Seal,Deep Fried,
8764,Skyhammer,No Item,Deep Fried,Ravager,Clover,C,0.2973,007753930488209194,High Tide,Ravager,0.15
8765,Buster,Deep Fried,No Item,Infiltrator,Pig,D,0.4924,631536312550557861,Hero,Breaker,0.1175
8766,Buster,Peacekeeper,Buster,Infiltrator,Neon Centipede,S,0.0296,516594611500420059,Dune,Skyhammer,0.65
8767,Ravager,No Item,No Item,Ironclaw,Pig,D,0.4924,566070784388333516,Seal,Renegade,0.194
8768,Skyhammer,No Item,No Item,Peacekeeper,Orange Hamster,D,0.4924,070001679411339125,Grape,Infiltrator,0.1025
8769,Ironclaw,No Item,Breaker,Renegade,Blue Spider,B,0.0992,308723209800287727,Dune,Ravager,
8770,Infiltrator,Deep Fried,No Item,Infiltrator,Grey Wolf,D,0.4924,286600317140112863,Corps,Renegade,0.149
8771,Renegade,No Item,Ravager,Deep Fried,Fruit Bat,C,0.2973,003692796055967784,Ghost,Spyder,0.122
8772,Spyder,No Item,No Item,Ravager,Cave Bat,D,0.4924,847233935266442806,High Tide,Ravager,0.155
8773,Deep Fried,Ravager,Deep Fried,Breaker,Green Frog,D,0.4924,636380964976403507,Corps,Renegade,0.21
8774,Buster,Skyhammer,Skyhammer,Infiltrator,Fruit Bat,C,0.2973,480073611590107005,Puff,Ravager,0.15
8775,Deep Fried,Skyhammer,Ravager,Spyder,Macaque,S,0.0296,002496429960523549,Grape,Breaker,0.65
8776,Renegade,Renegade,No Item,Ironclaw,Green Frog,D,0.4924,280061482039446683,C.A.T.,Infiltrator,0.1445
8777,Deep Fried,Skyhammer,No Item,Buster,Polar Bear,B,0.0992,205680258910775733,8008,Renegade,0.15
8778,Buster,Peacekeeper,Peacekeeper,Buster,Dart Frog,S,0.0296,965887555572000798,Orng,Peacekeeper,0.3
8779,Spyder,Renegade,No Item,Skyhammer,Bull,D,0.4924,140821748232338407,Corps,Infiltrator,0.085
8780,Peacekeeper,No Item,Peacekeeper,Buster,Chicken,C,0.2973,124279450700168436,Ghost,Deep Fried,0.1255
8781,Skyhammer,No Item,Buster,Deep Fried,White Mouse,D,0.4924,490059592444602171,Corps,Deep Fried,0.124
8782,Peacekeeper,No Item,Deep Fried,Spyder,German Shepherd,C,0.2973,842471221777607842,Snes,Infiltrator,0.088
8783,Infiltrator,No Item,Deep Fried,Breaker,White Mouse,D,0.4924,282373569155301232,Spec. Ops,Ravager,0.0895
8784,Spyder,Ravager,No Item,Renegade,Peacock,B,0.0992,304556806216444213,Hero,Breaker,0.1197
8785,Ironclaw,Breaker,Deep Fried,Buster,Black Shiba,C,0.2973,064092058821407735,Dune,Spyder,0.044
8786,Spyder,No Item,Peacekeeper,Ironclaw,Giraffe,A,0.0593,768740784200084263,Corps,Renegade,0.1
8787,Skyhammer,No Item,Buster,Skyhammer,Brown Mouse,C,0.2973,181224746411188086,Guardian,Skyhammer,0.07
8788,Ironclaw,Ravager,No Item,Ravager,Canadian Goose,D,0.4924,072510736800111862,Spec. Ops,Renegade,0.068
8789,Renegade,No Item,No Item,Ravager,Canadian Goose,D,0.4924,217550132088112048,Idol,Renegade,0.075
8790,Infiltrator,Ironclaw,No Item,Buster,Collie,D,0.4924,566549750127772181,Grape,Deep Fried,0.1674
8791,Skyhammer,Skyhammer,No Item,Infiltrator,Grey Wolf,D,0.4924,426611919410002839,Corps,Infiltrator,0.1916
8792,Peacekeeper,Renegade,No Item,Ironclaw,Staffie,D,0.4924,912219880760888443,Hero,Deep Fried,
8793,Buster,No Item,Infiltrator,Infiltrator,Panda,A,0.0593,444594919544081437,Puff,Skyhammer,
8794,Deep Fried,Ironclaw,No Item,Peacekeeper,White Pupper,C,0.2973,183403770972881480,Seal,Ravager,
8795,Ravager,No Item,Spyder,Deep Fried,Tuna,C,0.2973,247584199355457276,Maverick,Skyhammer,
8796,Ironclaw,No Item,No Item,Infiltrator,White Mouse,D,0.4924,354668410833669149,Grape,Ironclaw,
8797,Infiltrator,Infiltrator,Peacekeeper,Skyhammer,Grey Wolf,D,0.4924,840060442126482482,Maverick,Renegade,
8798,Breaker,Peacekeeper,No Item,Ironclaw,Rooster,D,0.4924,071956887648110763,Corps,Breaker,
8799,Deep Fried,No Item,Spyder,Spyder,Cave Bat,D,0.4924,914888126900484543,Idol,Ironclaw,
8800,Ravager,Spyder,No Item,Deep Fried,Ape,B,0.0992,200070295351004270,Maverick,Renegade,
8801,Spyder,Ravager,No Item,Renegade,Turkey,C,0.2973,242073200240559100,Seal,Ravager,
8802,Skyhammer,Deep Fried,No Item,Deep Fried,Boar,D,0.4924,777517392480777207,Hero,Peacekeeper,0.149
8803,Breaker,Spyder,Spyder,Infiltrator,Kaiju Lox,S+,0.01,663631014633849184,Ghost,Infiltrator,1.1597
8804,Ravager,No Item,No Item,Renegade,Fox,D,0.4924,143588907366227879,Hero,Ironclaw,0.149
8805,Buster,No Item,Deep Fried,Deep Fried,Great White,C,0.2973,122085296500004842,Snes,Buster,0.149
8806,Breaker,No Item,Breaker,Peacekeeper,Black Pupper,C,0.2973,187160073666422870,Royal,Renegade,0.1665
8807,Deep Fried,Infiltrator,No Item,Spyder,Cream Frenchie,B,0.0992,808404329900881876,Maverick,Skyhammer,0.119
8808,Spyder,Deep Fried,No Item,Ravager,Grey Wolf,D,0.4924,147739235220442100,Seal,Deep Fried,0.142
8809,Skyhammer,Infiltrator,No Item,Buster,Rooster,D,0.4924,355726553438444281,Grape,Breaker,0.1344
8810,Deep Fried,Skyhammer,No Item,Spyder,Blaze,D,0.4924,846271227980447067,Dune,Infiltrator,0.1063
8811,Infiltrator,Ironclaw,Skyhammer,Peacekeeper,Black Horse,D,0.4924,773827679100954819,Hero,Peacekeeper,0.1345
8812,Ravager,No Item,Renegade,Spyder,Great White,C,0.2973,783034328344900767,Dune,Skyhammer,0.119
8813,Infiltrator,No Item,Ravager,Deep Fried,Black Moose,B,0.0992,859849792144520782,Orng,Deep Fried,0.2045
